"gram2" "gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"664" "been" "tri" "to" 4 6 2
"665" "been" "work" "on" 4 5 2
"666" "bit" "of" "a" 4 20 4
"667" "but" "i" "think" 4 17 12
"668" "but" "it" "not" 4 7 3
"669" "but" "it" "was" 4 12 8
"670" "but" "it" "will" 4 7 2
"671" "came" "up" "with" 4 9 2
"672" "chanc" "to" "win" 4 4 6
"673" "coupl" "of" "hour" 4 5 2
"674" "day" "at" "the" 4 6 6
"675" "depend" "on" "how" 4 8 2
"676" "do" "you" "have" 4 5 30
"677" "dont" "have" "a" 4 9 9
"678" "dont" "know" "whi" 4 8 7
"679" "first" "time" "in" 4 6 7
"680" "for" "a" "while" 4 16 8
"681" "for" "mani" "year" 4 2 2
"682" "for" "me" "it" 4 6 3
"683" "for" "the" "new" 4 3 11
"684" "for" "the" "peopl" 4 3 2
"685" "for" "the" "rest" 4 6 11
"686" "for" "us" "to" 4 4 6
"687" "get" "back" "to" 4 7 7
"688" "get" "rid" "of" 4 6 5
"689" "give" "him" "a" 4 4 2
"690" "go" "to" "a" 4 5 10
"691" "has" "been" "on" 4 2 3
"692" "have" "time" "to" 4 3 2
"693" "have" "to" "do" 4 19 14
"694" "have" "to" "make" 4 4 6
"695" "he" "doe" "not" 4 3 2
"696" "he" "had" "been" 4 4 2
"697" "i" "can" "be" 4 3 3
"698" "i" "can" "do" 4 3 7
"699" "i" "didnt" "want" 4 11 4
"700" "i" "dont" "realli" 4 8 4
"701" "i" "have" "been" 4 54 17
"702" "i" "have" "no" 4 21 18
"703" "i" "think" "this" 4 9 3
"704" "i" "would" "like" 4 16 10
"705" "if" "there" "is" 4 5 2
"706" "if" "you" "are" 4 36 23
"707" "if" "you" "like" 4 7 5
"708" "im" "not" "go" 4 5 6
"709" "import" "part" "of" 4 6 2
"710" "in" "ani" "way" 4 11 3
"711" "in" "less" "than" 4 3 2
